Stop Words,Pre-processing,Model,Macro-F1,Accuracy
Not Removed,None,FeedFwdNN,0.7358603392594146,0.8101545253863135
Not Removed,None,RNN,0.3743843819739676,0.4326710816777042
Not Removed,None,LSTM,0.7557743000173575,0.7947019867549668
Not Removed,None,Transformer,0.778877694862825,0.8233995584988962
Not Removed,Lemmatizing,FeedFwdNN,0.7109307798893237,0.8079470198675497
Not Removed,Lemmatizing,RNN,0.5982374841571608,0.6666666666666666
Not Removed,Lemmatizing,LSTM,0.7896925415179279,0.8344370860927153
Not Removed,Lemmatizing,Transformer,0.8137874868257162,0.8587196467991169
Not Removed,Stemming,FeedFwdNN,0.7155940777402616,0.8101545253863135
Not Removed,Stemming,RNN,0.24953959484346222,0.5982339955849889
Not Removed,Stemming,LSTM,0.8096618878310015,0.8520971302428256
Not Removed,Stemming,Transformer,0.7917994058716152,0.8322295805739515
Removed,None,FeedFwdNN,0.6720900931427246,0.7593818984547461
Removed,None,RNN,0.26272533595542447,0.6026490066225165
Removed,None,LSTM,0.6664420111228622,0.7218543046357616
Removed,None,Transformer,0.7051161142912457,0.7792494481236203
Removed,Lemmatizing,FeedFwdNN,0.6875130737303343,0.7770419426048565
Removed,Lemmatizing,RNN,0.48784451829726416,0.5739514348785872
Removed,Lemmatizing,LSTM,0.7159464386666902,0.7814569536423841
Removed,Lemmatizing,Transformer,0.7220127265395876,0.7947019867549668
Removed,Stemming,FeedFwdNN,0.6995267012916228,0.7836644591611479
Removed,Stemming,RNN,0.49136198751611543,0.5894039735099338
Removed,Stemming,LSTM,0.7467436228074525,0.7969094922737306
Removed,Stemming,Transformer,0.7549875382506769,0.8167770419426048
